"Year","Perpetrator.Age","Relationship","Weapon","Perpetrator.Sex"
2014,29,"Stranger","Handgun","Female"
2014,52,"Stranger","Handgun","Male"
2014,18,"Stranger","Handgun","Male"
2014,37,"Stranger","Handgun","Male"
2014,32,"Wife","Handgun","Male"
2014,32,"Stranger","Handgun","Male"
2014,27,"Acquaintance","Handgun","Male"
2014,16,"Family","Blunt Object","Male"
2014,35,"Stranger","Fire","Male"
2014,46,"Boyfriend","Shotgun","Female"
2014,54,"Stranger","Handgun","Male"
2014,33,"Son","Blunt Object","Male"
2014,17,"Acquaintance","Handgun","Male"
2014,19,"Acquaintance","Knife","Male"
2014,19,"Stranger","Handgun","Male"
2014,25,"Acquaintance","Handgun","Male"
2014,26,"Acquaintance","Fire","Male"
2014,23,"Girlfriend","Knife","Male"
2014,26,"Brother","Knife","Male"
2014,27,"Stranger","Knife","Male"
2014,44,"Girlfriend","Handgun","Male"
2014,44,"Acquaintance","Handgun","Male"
2014,32,"Stranger","Handgun","Male"
2014,40,"Stranger","Handgun","Male"
2014,48,"Stranger","Handgun","Male"
2014,66,"Stranger","Handgun","Male"
2014,32,"Stranger","Handgun","Male"
2014,55,"Girlfriend","Shotgun","Male"
2014,55,"Girlfriend","Strangulation","Male"
2014,54,"Stranger","Handgun","Male"
2014,19,"Stranger","Handgun","Male"
2014,21,"Stranger","Handgun","Male"
2014,15,"Acquaintance","Handgun","Male"
2014,50,"Acquaintance","Handgun","Male"
2014,57,"Friend","Knife","Male"
2014,19,"Stranger","Handgun","Male"
2014,39,"Family","Blunt Object","Male"
2014,22,"Acquaintance","Knife","Male"
2014,26,"Stranger","Handgun","Male"
2014,28,"Stranger","Handgun","Male"
2014,39,"Acquaintance","Rifle","Male"
2014,20,"Stranger","Handgun","Male"
2014,30,"Wife","Handgun","Female"
2014,19,"Family","Handgun","Male"
2014,22,"Acquaintance","Knife","Male"
2014,33,"Family","Suffocation","Male"
2014,30,"Stranger","Handgun","Male"
2014,36,"Acquaintance","Strangulation","Male"
2014,30,"Stranger","Rifle","Male"
2014,52,"Stranger","Handgun","Male"
2014,36,"Acquaintance","Handgun","Male"
2014,33,"Acquaintance","Handgun","Male"
2014,29,"Stranger","Rifle","Male"
2014,50,"Husband","Handgun","Female"
2014,32,"Stranger","Handgun","Male"
2014,33,"Girlfriend","Handgun","Male"
2014,25,"Stranger","Handgun","Male"
2014,37,"Family","Handgun","Male"
2014,28,"Acquaintance","Handgun","Male"
2014,47,"Daughter","Handgun","Male"
2014,47,"Daughter","Handgun","Male"
2014,61,"Acquaintance","Handgun","Male"
2014,33,"Acquaintance","Handgun","Male"
2014,64,"Wife","Handgun","Male"
2014,56,"Stranger","Handgun","Male"
2014,32,"Stranger","Handgun","Male"
2014,56,"Girlfriend","Handgun","Male"
2014,52,"Stranger","Shotgun","Male"
2014,37,"Acquaintance","Knife","Male"
2014,57,"Father","Suffocation","Male"
2014,23,"Girlfriend","Strangulation","Male"
2014,52,"Friend","Blunt Object","Male"
2014,77,"Wife","Handgun","Male"
2014,21,"Girlfriend","Handgun","Male"
2014,28,"Stranger","Handgun","Male"
2014,29,"Stranger","Rifle","Male"
2014,29,"Acquaintance","Handgun","Male"
2014,38,"Acquaintance","Handgun","Male"
2014,37,"Stranger","Handgun","Male"
2014,40,"Acquaintance","Knife","Male"
2014,51,"Stranger","Handgun","Male"
2014,51,"Wife","Handgun","Male"
2014,16,"Acquaintance","Knife","Male"
2014,18,"Stranger","Shotgun","Male"
2014,21,"Girlfriend","Handgun","Male"
2014,39,"Stranger","Handgun","Male"
2014,46,"Acquaintance","Handgun","Male"
2014,23,"Stranger","Handgun","Male"
2014,21,"Acquaintance","Blunt Object","Male"
2014,28,"Acquaintance","Handgun","Male"
2014,40,"Stranger","Handgun","Male"
2014,56,"Friend","Handgun","Female"
2014,25,"Stranger","Handgun","Male"
2014,47,"Stranger","Knife","Male"
2014,41,"Mother","Strangulation","Male"
2014,24,"Stranger","Blunt Object","Male"
2014,55,"Ex-Wife","Handgun","Male"
2014,44,"Girlfriend","Blunt Object","Male"
2014,18,"Stranger","Knife","Male"
2014,44,"Acquaintance","Firearm","Male"
2014,45,"Acquaintance","Handgun","Male"
2014,44,"Wife","Firearm","Male"
2014,72,"Wife","Handgun","Male"
2014,40,"Acquaintance","Knife","Female"
2014,18,"Stranger","Knife","Male"
2014,42,"Wife","Strangulation","Male"
2014,26,"Family","Handgun","Female"
2014,25,"Neighbor","Drugs","Male"
2014,34,"Acquaintance","Handgun","Male"
2014,20,"Mother","Knife","Male"
2014,57,"Mother","Blunt Object","Female"
2014,18,"Stranger","Handgun","Male"
2014,18,"Stranger","Handgun","Male"
2014,18,"Stranger","Handgun","Male"
2014,22,"Stranger","Handgun","Male"
2014,29,"Stranger","Handgun","Male"
2014,14,"Sister","Handgun","Male"
2014,18,"Stranger","Handgun","Male"
2014,22,"Acquaintance","Handgun","Male"
2014,45,"Stranger","Handgun","Male"
2014,25,"Stranger","Handgun","Male"
2014,30,"Acquaintance","Handgun","Male"
2014,40,"Stranger","Blunt Object","Male"
2014,38,"Neighbor","Handgun","Male"
2014,29,"Stranger","Blunt Object","Male"
2014,20,"Stranger","Handgun","Male"
2014,35,"Stranger","Handgun","Male"
2014,38,"Brother","Shotgun","Male"
2014,39,"Son","Drugs","Female"
2014,20,"Stranger","Handgun","Male"
2014,15,"Stranger","Handgun","Male"
2014,53,"Wife","Blunt Object","Male"
2014,25,"Stranger","Handgun","Male"
2014,32,"Stranger","Handgun","Male"
2014,34,"Stranger","Handgun","Male"
2014,21,"Stranger","Handgun","Male"
2014,43,"Stranger","Handgun","Male"
2014,30,"Stranger","Handgun","Male"
2014,34,"Acquaintance","Handgun","Male"
2014,20,"Stranger","Handgun","Male"
2014,26,"Stranger","Knife","Male"
2014,20,"Stranger","Handgun","Male"
2014,20,"Acquaintance","Handgun","Male"
2014,40,"Acquaintance","Handgun","Male"
2014,30,"Stranger","Handgun","Male"
2014,86,"Wife","Handgun","Male"
2014,35,"Girlfriend","Knife","Male"
2014,25,"Stranger","Handgun","Male"
2014,27,"Stranger","Handgun","Male"
2014,25,"Stranger","Handgun","Male"
2014,23,"Son","Knife","Female"
2014,40,"Friend","Knife","Male"
2014,44,"Acquaintance","Handgun","Male"
2014,33,"Mother","Blunt Object","Male"
2014,29,"Wife","Blunt Object","Male"
2014,23,"Stranger","Handgun","Male"
2014,31,"Stranger","Handgun","Male"
2014,44,"Acquaintance","Handgun","Male"
2014,36,"Stranger","Handgun","Male"
2014,29,"Stranger","Knife","Male"
2014,40,"Acquaintance","Knife","Male"
2014,28,"Stranger","Firearm","Male"
2014,25,"Neighbor","Knife","Male"
2014,41,"Acquaintance","Firearm","Male"
2014,18,"Acquaintance","Handgun","Male"
2014,59,"Stranger","Handgun","Male"
2014,27,"Stranger","Handgun","Male"
2014,25,"Stranger","Knife","Male"
2014,49,"Acquaintance","Blunt Object","Male"
2014,34,"Stranger","Firearm","Male"
2014,30,"Acquaintance","Handgun","Female"
2014,68,"Stranger","Handgun","Male"
2014,40,"Stranger","Handgun","Male"
2014,37,"Boyfriend","Knife","Female"
2014,34,"Family","Handgun","Male"
2014,31,"Stranger","Handgun","Male"
2014,54,"Stranger","Handgun","Male"
2014,20,"Stranger","Handgun","Male"
2014,53,"Mother","Blunt Object","Female"
2014,25,"Stranger","Handgun","Male"
2014,19,"Stranger","Firearm","Male"
2014,58,"Boyfriend/Girlfriend","Handgun","Female"
2014,39,"Neighbor","Handgun","Male"
2014,23,"Stranger","Handgun","Male"
2014,37,"Stranger","Rifle","Male"
2014,45,"Stranger","Rifle","Male"
2014,23,"Stranger","Gun","Male"
2014,21,"Stranger","Knife","Male"
2014,23,"Stranger","Handgun","Male"
2014,84,"Ex-Wife","Firearm","Male"
2014,23,"Stranger","Firearm","Male"
2014,19,"Stranger","Firearm","Male"
2014,23,"Friend","Knife","Female"
2014,27,"Son","Blunt Object","Male"
2014,19,"Stranger","Handgun","Male"
2014,32,"Stranger","Handgun","Male"
2014,30,"Stranger","Firearm","Male"
2014,20,"Stranger","Firearm","Male"
2014,43,"Stranger","Firearm","Male"
2014,29,"Stranger","Handgun","Male"
2014,31,"Stranger","Firearm","Male"
2014,28,"Acquaintance","Firearm","Male"
2014,21,"Acquaintance","Firearm","Male"
2014,23,"Stranger","Firearm","Male"
2014,46,"Stranger","Handgun","Male"
2014,25,"Father","Handgun","Male"
2014,31,"Stranger","Handgun","Male"
2014,35,"Stranger","Knife","Male"
2014,47,"Stranger","Firearm","Male"
2014,23,"Stranger","Firearm","Male"
2014,43,"Stranger","Handgun","Male"
2014,47,"Girlfriend","Knife","Male"
2014,31,"Son","Blunt Object","Female"
2014,36,"Stranger","Firearm","Male"
2014,40,"Stranger","Handgun","Male"
2014,27,"Stranger","Knife","Female"
2014,49,"Stranger","Handgun","Male"
2014,15,"Friend","Handgun","Male"
2014,23,"Stranger","Knife","Male"
2014,17,"Brother","Shotgun","Male"
2014,21,"Stranger","Handgun","Male"
2014,19,"Stranger","Firearm","Male"
2014,37,"Neighbor","Shotgun","Male"
2014,31,"Wife","Knife","Male"
2014,33,"Acquaintance","Shotgun","Male"
2014,30,"Friend","Handgun","Male"
2014,38,"Friend","Rifle","Male"
2014,29,"Stranger","Handgun","Male"
2014,40,"Acquaintance","Handgun","Male"
2014,48,"Acquaintance","Handgun","Female"
2014,28,"Acquaintance","Shotgun","Male"
2014,43,"Stranger","Blunt Object","Male"
2014,28,"Acquaintance","Shotgun","Male"
2014,24,"Friend","Firearm","Male"
2014,56,"Friend","Shotgun","Male"
2014,33,"Stranger","Firearm","Male"
2014,22,"Stranger","Firearm","Male"
2014,30,"Stranger","Knife","Male"
2014,65,"Neighbor","Knife","Male"
2014,35,"Stranger","Firearm","Male"
2014,34,"Stranger","Firearm","Male"
2014,21,"Stranger","Knife","Male"
2014,30,"Neighbor","Firearm","Male"
2014,56,"Common-Law Wife","Blunt Object","Male"
2014,29,"Acquaintance","Handgun","Male"
2014,50,"Stranger","Handgun","Male"
2014,39,"Wife","Firearm","Male"
2014,26,"Stranger","Handgun","Male"
2014,46,"Stranger","Shotgun","Male"
2014,39,"Stranger","Handgun","Male"
2014,48,"Boyfriend","Knife","Female"
2014,47,"Boyfriend/Girlfriend","Knife","Male"
